# CCTV 直播源 - KO影视专用
# 更新时间: 2026-07-01 07:04:35 CST

央视,#genre#
CCTV-1 综合,http://69.30.245.50/live/cctv1.m3u8
CCTV-2 财经,http://111.8.224.6:9999/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-4 中文国际,https://live-play-hls.cctvnews.cctv.com/CCTVChannel/channel_cctv4_mbd.m3u8?auth_key=1782889200-1-b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c-cb6bb8d81dd443bea6c3981543aa5af6&yid=b59134a2ead43d7f783f943c8f535e7bb80c5169575b2e8efcd5b3ddea21b41c
CCTV-5 体育 ⚽,http://36.40.237.49:9999/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+ 体育赛事 ⚽,http://120.198.95.220:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-6 电影,http://69.30.245.50/live/cctv6.m3u8
CCTV-7 国防军事,http://222.223.41.27:8888/hls/7/index.m3u8
CCTV-8 电视剧,http://111.8.224.6:9999/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9 纪录,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV-10 科教,http://60.10.139.113:8801/hls/10/index.m3u8
CCTV-11 戏曲,https://xykt-fix.github.io/play/a02b/index.m3u8
CCTV-12 社会与法,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV-13 新闻,https://event.pull.hebtv.com/jishi/cp1.m3u8
CCTV-14 少儿,https://event.pull.hebtv.com/jishi/cp2.m3u8
CCTV-15 音乐,https://xykt-fix.github.io/play/a02e/index.m3u8
CCTV-16 奥林匹克,http://121.57.88.206:898/hls/16/index.m3u8
CCTV-17 农业农村,http://111.8.224.6:9999/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4K 超高清,http://198.204.240.250:82/live/cctv4k.m3u8
