央视,#genre#
CCTV-1 综合,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-1 综合(备1),http://36.136.38.87:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合(备2),http://69.30.245.50/live/cctv1.m3u8
CCTV-1 综合(备3),http://60.10.139.113:8801/hls/1/index.m3u8
CCTV-1 综合(备4),http://222.223.41.27:8888/hls/1/index.m3u8
CCTV-2 财经,http://36.136.38.87:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经(备1),http://116.128.243.121:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2 财经(备2),http://153.0.171.163:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经(备3),http://222.223.41.27:8888/hls/2/index.m3u8
CCTV-2 财经(备4),http://60.10.139.113:8801/hls/2/index.m3u8
CCTV-3 综艺,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-3 综艺(备1),http://222.223.41.27:8888/hls/3/index.m3u8
CCTV-3 综艺(备2),http://118.193.115.2:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV-3 综艺(备3),http://60.10.139.113:8801/hls/3/index.m3u8
CCTV-3 综艺(备4),http://112.123.243.37:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4 中文国际,http://36.136.38.87:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4 中文国际(备1),http://153.0.171.163:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4 中文国际(备2),http://60.10.139.113:8801/hls/4/index.m3u8
CCTV-4 中文国际(备3),http://120.198.95.220:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-5 体育,http://222.223.41.27:8888/hls/5/index.m3u8
CCTV-5 体育(备1),http://60.10.139.113:8801/hls/5/index.m3u8
CCTV-5 体育(备2),http://112.123.243.37:50085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
